A1,"['A7', 'G7', 'B8', 'C8', 'D8']"
B1,"['A7', 'G7', 'B8', 'E8', 'F8']"
C1,"['A7', 'G7', 'B8', 'E8', 'G8']"
D1,"['A7', 'G7', 'B8', 'E8', 'D8']"
E1,"['A7', 'G7', 'H8', 'A9', 'F8']"
F1,"['A7', 'G7', 'H8', 'A9', 'G8']"
G1,"['A7', 'G7', 'H8', 'A9', 'D8']"
H1,"['A7', 'G7', 'H8', 'C8', 'F8']"
A2,"['A7', 'G7', 'H8', 'C8', 'G8']"
B2,"['A7', 'G7', 'H8', 'C8', 'D8']"
C2,"['A7', 'G7', 'H8', 'E8', 'F8']"
D2,"['A7', 'G7', 'H8', 'E8', 'G8']"
E2,"['A7', 'G7', 'H8', 'E8', 'D8']"
F2,"['A7', 'G7', 'B9', 'D9', 'E9']"
G2,"['A7', 'G7', 'B9', 'D9', 'F9']"
H2,"['B7', 'H7', 'B9', 'D9', 'G9']"
A3,"['B7', 'H7', 'B9', 'H9', 'E9']"
B3,"['B7', 'H7', 'B9', 'H9', 'F9']"
C3,"['B7', 'H7', 'B9', 'H9', 'G9']"
D3,"['B7', 'H7', 'B9', 'A10', 'E9']"
E3,"['B7', 'H7', 'B9', 'A10', 'F9']"
F3,"['B7', 'H7', 'B9', 'A10', 'G9']"
G3,"['B7', 'H7', 'B10', 'D9', 'E9']"
H3,"['B7', 'H7', 'B10', 'D9', 'F9']"
A4,"['B7', 'H7', 'B10', 'D9', 'G9']"
B4,"['B7', 'H7', 'B10', 'H9', 'E9']"
C4,"['B7', 'H7', 'B10', 'H9', 'F9']"
D4,"['B7', 'H7', 'B10', 'H9', 'G9']"
E4,"['B7', 'H7', 'B10', 'A10', 'E9']"
F4,"['B7', 'H7', 'B10', 'A10', 'F9']"
G4,"['C7', 'A8', 'B10', 'A10', 'G9']"
H4,"['C7', 'A8', 'D10', 'D9', 'E9']"
A5,"['C7', 'A8', 'D10', 'D9', 'F9']"
B5,"['C7', 'A8', 'D10', 'D9', 'G9']"
C5,"['C7', 'A8', 'D10', 'H9', 'E9']"
D5,"['C7', 'A8', 'D10', 'H9', 'F9']"
E5,"['C7', 'A8', 'D10', 'H9', 'G9']"
F5,"['C7', 'A8', 'D10', 'A10', 'E9']"
G5,"['C7', 'A8', 'D10', 'A10', 'F9']"
H5,"['C7', 'A8', 'D10', 'A10', 'G9']"
A6,"['C7', 'F10', 'B11', 'B9', 'F8']"
B6,"['C7', 'F10', 'B11', 'B9', 'G8']"
C6,"['C7', 'F10', 'B11', 'B9', 'D8']"
D6,"['C7', 'F10', 'B11', 'B10', 'F8']"
E6,"['C7', 'F10', 'B11', 'B10', 'G8']"
F6,"['D7', 'F10', 'B11', 'B10', 'D8']"
G6,"['D7', 'F10', 'B11', 'D10', 'F8']"
H6,"['D7', 'F10', 'B11', 'D10', 'G8']"
A7,"['D7', 'F10', 'B11', 'D10', 'D8']"
B7,"['D7', 'F10', 'C11', 'B9', 'F8']"
C7,"['D7', 'F10', 'C11', 'B9', 'G8']"
D7,"['D7', 'F10', 'C11', 'B9', 'D8']"
E7,"['D7', 'F10', 'C11', 'B10', 'F8']"
F7,"['D7', 'F10', 'C11', 'B10', 'G8']"
G7,"['D7', 'F10', 'C11', 'B10', 'D8']"
H7,"['D7', 'G10', 'C11', 'D10', 'F8']"
A8,"['D7', 'G10', 'C11', 'D10', 'G8']"
B8,"['D7', 'G10', 'C11', 'D10', 'D8']"
C8,"['D7', 'G10', 'D11', 'C9', 'F8']"
D8,"['D7', 'G10', 'D11', 'C9', 'G8']"
E8,"['E7', 'G10', 'D11', 'C9', 'D8']"
F8,"['E7', 'G10', 'D11', 'C10', 'F8']"
G8,"['E7', 'G10', 'D11', 'C10', 'G8']"
H8,"['E7', 'G10', 'D11', 'C10', 'D8']"
A9,"['E7', 'G10', 'D11', 'E10', 'F8']"
B9,"['E7', 'G10', 'D11', 'E10', 'G8']"
C9,"['E7', 'G10', 'D11', 'E10', 'D8']"
D9,"['E7', 'G10', 'A9', 'E11', 'F11']"
E9,"['E7', 'G10', 'A9', 'E11', 'G11']"
F9,"['E7', 'G10', 'A9', 'E11', 'H11']"
G9,"['E7', 'H10', 'A9', 'A12', 'F11']"
H9,"['E7', 'H10', 'A9', 'A12', 'G11']"
A10,"['E7', 'H10', 'A9', 'A12', 'H11']"
B10,"['E7', 'H10', 'A9', 'B12', 'F11']"
C10,"['E7', 'H10', 'A9', 'B12', 'G11']"
D10,"['F7', 'H10', 'A9', 'B12', 'H11']"
E10,"['F7', 'H10', 'C8', 'E11', 'F11']"
F10,"['F7', 'H10', 'C8', 'E11', 'G11']"
G10,"['F7', 'H10', 'C8', 'E11', 'H11']"
H10,"['F7', 'H10', 'C8', 'A12', 'F11']"
A11,"['F7', 'H10', 'C8', 'A12', 'G11']"
B11,"['F7', 'H10', 'C8', 'A12', 'H11']"
C11,"['F7', 'H10', 'C8', 'B12', 'F11']"
D11,"['F7', 'H10', 'C8', 'B12', 'G11']"
E11,"['F7', 'H10', 'C8', 'B12', 'H11']"
F11,"['F7', 'A11', 'E8', 'E11', 'F11']"
G11,"['F7', 'A11', 'E8', 'E11', 'G11']"
H11,"['F7', 'A11', 'E8', 'E11', 'H11']"
