A1,"['A7', 'D7']"
B1,"['A7', 'E7']"
C1,"['A7', 'F7']"
D1,"['A7', 'G7']"
E1,"['A7', 'H7']"
F1,"['A7', 'A8']"
G1,"['A7', 'B8']"
H1,"['A7', 'C8']"
A2,"['A7', 'D8']"
B2,"['A7', 'E8']"
C2,"['A7', 'F8']"
D2,"['A7', 'G8']"
E2,"['A7', 'H8']"
F2,"['A7', 'A9']"
G2,"['A7', 'B9']"
H2,"['B7', 'C9']"
A3,"['B7', 'D9']"
B3,"['B7', 'E9']"
C3,"['B7', 'F9']"
D3,"['B7', 'G9']"
E3,"['B7', 'H9']"
F3,"['B7', 'A10']"
G3,"['B7', 'B10']"
H3,"['B7', 'C10']"
A4,"['B7', 'D10']"
B4,"['B7', 'E10']"
C4,"['B7', 'F10']"
D4,"['B7', 'G10']"
E4,"['B7', 'H10']"
F4,"['B7', 'A11']"
G4,"['C7', 'B11']"
H4,"['C7', 'C11']"
A5,"['C7', 'D11']"
B5,"['C7', 'E11']"
C5,"['C7', 'F11']"
D5,"['C7', 'G11']"
